            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2396975.500000000, A.D. 1850-Aug-06 00:00:00.0000,  1.338005344928270E+09,  4.175203337728461E+08, -6.039896700028802E+07, -2.947341824656368E+05,  7.935826854084259E+05, -2.372796153198382E+03,
2396985.500000000, A.D. 1850-Aug-16 00:00:00.0000,  1.335033505244196E+09,  4.254497840095012E+08, -6.042215508351338E+07, -2.997107136200482E+05,  7.921455851905356E+05, -2.176950887182429E+03,
2396995.500000000, A.D. 1850-Aug-26 00:00:00.0000,  1.332013837205293E+09,  4.333630994456745E+08, -6.044272387905721E+07, -3.042950095263199E+05,  7.906702240029183E+05, -2.011267264807614E+03,
2397005.500000000, A.D. 1850-Sep-05 00:00:00.0000,  1.328945707190708E+09,  4.412615040049253E+08, -6.046138928580277E+07, -3.091459833752603E+05,  7.889381619313658E+05, -1.703715894266908E+03,
2397015.500000000, A.D. 1850-Sep-15 00:00:00.0000,  1.325830829102090E+09,  4.491440547737678E+08, -6.047796540156019E+07, -3.140069703564009E+05,  7.875086160953352E+05, -1.565290296074224E+03,
2397025.500000000, A.D. 1850-Sep-25 00:00:00.0000,  1.322667614731207E+09,  4.570098435574777E+08, -6.049198700335512E+07, -3.185750658207592E+05,  7.858012423238824E+05, -1.325166375833756E+03,
2397035.500000000, A.D. 1850-Oct-05 00:00:00.0000,  1.319456752772963E+09,  4.648600470212904E+08, -6.050426945847103E+07, -3.235107838265788E+05,  7.840697294848637E+05, -1.054325398525090E+03,
2397045.500000000, A.D. 1850-Oct-15 00:00:00.0000,  1.316199087139903E+09,  4.726928928190123E+08, -6.051412744747005E+07, -3.281963649802641E+05,  7.825573309275386E+05, -9.339209781813935E+02,
2397055.500000000, A.D. 1850-Oct-25 00:00:00.0000,  1.312892971613405E+09,  4.805086426381405E+08, -6.052169889832011E+07, -3.328540547846684E+05,  7.806654534817736E+05, -6.359622159169732E+02,
2397065.500000000, A.D. 1850-Nov-04 00:00:00.0000,  1.309540089197093E+09,  4.883076495723498E+08, -6.052746671675228E+07, -3.377857132228320E+05,  7.789685019712710E+05, -4.281445205266081E+02,
2397075.500000000, A.D. 1850-Nov-14 00:00:00.0000,  1.306140012701160E+09,  4.960880958111485E+08, -6.053060200111103E+07, -3.423212429397043E+05,  7.772653899892898E+05, -2.673906846974319E+02,
2397085.500000000, A.D. 1850-Nov-24 00:00:00.0000,  1.302691965443127E+09,  5.038511390940088E+08, -6.053177438153467E+07, -3.470947604412535E+05,  7.752821713422661E+05,  4.449201765308430E+01,
2397095.500000000, A.D. 1850-Dec-04 00:00:00.0000,  1.299197749731729E+09,  5.115959937049411E+08, -6.053088644762918E+07, -3.519124630397718E+05,  7.736084747804506E+05,  1.867622155090999E+02,
2397105.500000000, A.D. 1850-Dec-14 00:00:00.0000,  1.295655885769556E+09,  5.193215979540486E+08, -6.052740177799845E+07, -3.564148791572162E+05,  7.716774908390741E+05,  4.186691713010987E+02,
2397115.500000000, A.D. 1850-Dec-24 00:00:00.0000,  1.292066908555078E+09,  5.270291888340375E+08, -6.052214888051704E+07, -3.612823347489548E+05,  7.696806022945229E+05,  7.030651049692153E+02,
2397125.500000000, A.D. 1851-Jan-03 00:00:00.0000,  1.288431864090662E+09,  5.347170727723954E+08, -6.051449492435613E+07, -3.659119950261374E+05,  7.679318596003286E+05,  8.237751854902215E+02,
2397135.500000000, A.D. 1851-Jan-13 00:00:00.0000,  1.284749075813137E+09,  5.423853669686610E+08, -6.050449316905296E+07, -3.704741623649642E+05,  7.658123237808914E+05,  1.114707436251136E+03,
2397145.500000000, A.D. 1851-Jan-23 00:00:00.0000,  1.281020148364508E+09,  5.500345909294416E+08, -6.049269999256986E+07, -3.753492502665402E+05,  7.638629603274760E+05,  1.332225209607408E+03,
2397155.500000000, A.D. 1851-Feb-02 00:00:00.0000,  1.277244859162153E+09,  5.576628817513257E+08, -6.047827520468238E+07, -3.798237507198241E+05,  7.619375247254083E+05,  1.487676551396971E+03,
2397165.500000000, A.D. 1851-Feb-12 00:00:00.0000,  1.273422284906968E+09,  5.652713281316873E+08, -6.046182993698293E+07, -3.844957065489555E+05,  7.597065263524007E+05,  1.804780630657780E+03,
2397175.500000000, A.D. 1851-Feb-22 00:00:00.0000,  1.269554291407249E+09,  5.728593287842312E+08, -6.044335830734673E+07, -3.892556568894382E+05,  7.577916409766345E+05,  1.953592783916470E+03,
2397185.500000000, A.D. 1851-Mar-04 00:00:00.0000,  1.265639512251421E+09,  5.804256870969238E+08, -6.042225700210097E+07, -3.936722100423020E+05,  7.556505001558145E+05,  2.174092396216285E+03,
2397195.500000000, A.D. 1851-Mar-14 00:00:00.0000,  1.261678293272370E+09,  5.879716981402848E+08, -6.039936084669954E+07, -3.984507640455975E+05,  7.534040895162958E+05,  2.467791999153836E+03,
2397205.500000000, A.D. 1851-Mar-24 00:00:00.0000,  1.257671844102786E+09,  5.954957676041956E+08, -6.037409756154418E+07, -4.030317757817404E+05,  7.514306019706428E+05,  2.589283184639193E+03,
2397215.500000000, A.D. 1851-Apr-03 00:00:00.0000,  1.253618457958137E+09,  6.029978416204914E+08, -6.034642527103403E+07, -4.074936768247659E+05,  7.490862077279860E+05,  2.876653564373771E+03,
2397225.500000000, A.D. 1851-Apr-13 00:00:00.0000,  1.249519630610093E+09,  6.104785908776731E+08, -6.031696671580151E+07, -4.122862815429497E+05,  7.468824419401080E+05,  3.107221094225305E+03,
2397235.500000000, A.D. 1851-Apr-23 00:00:00.0000,  1.245375337653630E+09,  6.179361229370540E+08, -6.028488819911465E+07, -4.166964651960731E+05,  7.447535608723130E+05,  3.250695829696764E+03,
2397245.500000000, A.D. 1851-May-03 00:00:00.0000,  1.241184496384238E+09,  6.253714182806928E+08, -6.025073375495511E+07, -4.212727671302802E+05,  7.422892255103843E+05,  3.568256612119082E+03,
2397255.500000000, A.D. 1851-May-13 00:00:00.0000,  1.236949001567164E+09,  6.327840360506339E+08, -6.021458465963176E+07, -4.259731021114123E+05,  7.401180255036438E+05,  3.732420676720474E+03,
2397265.500000000, A.D. 1851-May-23 00:00:00.0000,  1.232667635894010E+09,  6.401726299236234E+08, -6.017577728114468E+07, -4.302973821396544E+05,  7.377649578813113E+05,  3.942028075491649E+03,
2397275.500000000, A.D. 1851-Jun-02 00:00:00.0000,  1.228340562806134E+09,  6.475385159576139E+08, -6.013514463081548E+07, -4.349721226727274E+05,  7.352753252924627E+05,  4.239419724342931E+03,
2397285.500000000, A.D. 1851-Jun-12 00:00:00.0000,  1.223969145884462E+09,  6.548802070578531E+08, -6.009218736604029E+07, -4.394999321448859E+05,  7.330686681996007E+05,  4.363697711238609E+03,
2397295.500000000, A.D. 1851-Jun-22 00:00:00.0000,  1.219551687942222E+09,  6.621974597027240E+08, -6.004676957332739E+07, -4.438601590673514E+05,  7.305013253450228E+05,  4.644100521482693E+03,
2397305.500000000, A.D. 1851-Jul-02 00:00:00.0000,  1.215089574855364E+09,  6.694910697224416E+08, -5.999956927266631E+07, -4.485583239191844E+05,  7.280383763673541E+05,  4.887025797764596E+03,
2397315.500000000, A.D. 1851-Jul-12 00:00:00.0000,  1.210583000402426E+09,  6.767591355964042E+08, -5.994976945633245E+07, -4.528944523093048E+05,  7.256864173947070E+05,  5.025686310143586E+03,
2397325.500000000, A.D. 1851-Jul-22 00:00:00.0000,  1.206030768453046E+09,  6.840025139367226E+08, -5.989784349307939E+07, -4.573509459112922E+05,  7.229896293831401E+05,  5.338830675016296E+03,
2397335.500000000, A.D. 1851-Aug-01 00:00:00.0000,  1.201434795103700E+09,  6.912209384750357E+08, -5.984396316994718E+07, -4.619691402539424E+05,  7.205699886419427E+05,  5.510718374983498E+03,
2397345.500000000, A.D. 1851-Aug-11 00:00:00.0000,  1.196794029708333E+09,  6.984129436190872E+08, -5.978741434024069E+07, -4.662046692824414E+05,  7.179990293401012E+05,  5.712278539862750E+03,
2397355.500000000, A.D. 1851-Aug-21 00:00:00.0000,  1.192108471096828E+09,  7.055798466307511E+08, -5.972901055048040E+07, -4.707569393230602E+05,  7.152566743169669E+05,  6.016933163552977E+03,
2397365.500000000, A.D. 1851-Aug-31 00:00:00.0000,  1.187379638801528E+09,  7.127202960740356E+08, -5.966833034944233E+07, -4.751923922905828E+05,  7.128144383996169E+05,  6.143036710699617E+03,
2397375.500000000, A.D. 1851-Sep-10 00:00:00.0000,  1.182605870589932E+09,  7.198338951903659E+08, -5.960515517309502E+07, -4.794371148234376E+05,  7.100369354668227E+05,  6.410814469548328E+03,
2397385.500000000, A.D. 1851-Sep-20 00:00:00.0000,  1.177788419477786E+09,  7.269215673561823E+08, -5.954020834177881E+07, -4.840304690969894E+05,  7.073245371488908E+05,  6.663190242252226E+03,
2397395.500000000, A.D. 1851-Sep-30 00:00:00.0000,  1.172927682458827E+09,  7.339814307235881E+08, -5.947269224388885E+07, -4.882725415492802E+05,  7.047470758512478E+05,  6.800983430008278E+03,
2397405.500000000, A.D. 1851-Oct-10 00:00:00.0000,  1.168022359084682E+09,  7.410142241885998E+08, -5.940300416537651E+07, -4.925951177014167E+05,  7.018237826918161E+05,  7.110429828569568E+03,
2397415.500000000, A.D. 1851-Oct-20 00:00:00.0000,  1.163074357672732E+09,  7.480198582452315E+08, -5.933140293296248E+07, -4.971115037353923E+05,  6.991652328718342E+05,  7.288148870428255E+03,
2397425.500000000, A.D. 1851-Oct-30 00:00:00.0000,  1.158082788353186E+09,  7.549967708611248E+08, -5.925713377623698E+07, -5.012378865545359E+05,  6.963852415134128E+05,  7.480241455913509E+03,
2397435.500000000, A.D. 1851-Nov-09 00:00:00.0000,  1.153047469004490E+09,  7.619462721325730E+08, -5.918098479918230E+07, -5.056644954387444E+05,  6.934068920277376E+05,  7.788360947041999E+03,
2397445.500000000, A.D. 1851-Nov-19 00:00:00.0000,  1.147970038682894E+09,  7.688671420317112E+08, -5.910260936707592E+07, -5.100072319386431E+05,  6.907339107380111E+05,  7.918406788061415E+03,
2397455.500000000, A.D. 1851-Nov-29 00:00:00.0000,  1.142848879189844E+09,  7.757588158151542E+08, -5.902170448026630E+07, -5.141190781544962E+05,  6.877382200166550E+05,  8.180154051896858E+03,
2397465.500000000, A.D. 1851-Dec-09 00:00:00.0000,  1.137685106804137E+09,  7.826223277724338E+08, -5.893903696799010E+07, -5.185873299501415E+05,  6.847874122554571E+05,  8.437669997873058E+03,
2397475.500000000, A.D. 1851-Dec-19 00:00:00.0000,  1.132479309681805E+09,  7.894558259103724E+08, -5.885384066619328E+07, -5.227326455313524E+05,  6.820035604399083E+05,  8.566837341087376E+03,
2397485.500000000, A.D. 1851-Dec-29 00:00:00.0000,  1.127230082120201E+09,  7.962599075216310E+08, -5.876642939866695E+07, -5.269240826202030E+05,  6.788492309109664E+05,  8.877348118871121E+03,
2397495.500000000, A.D. 1852-Jan-08 00:00:00.0000,  1.121939315419118E+09,  8.030346370768048E+08, -5.867714207323098E+07, -5.313274461091709E+05,  6.759424976029590E+05,  9.066168220615566E+03,
2397505.500000000, A.D. 1852-Jan-18 00:00:00.0000,  1.116606310625064E+09,  8.097783518777984E+08, -5.858519234300113E+07, -5.353242000020052E+05,  6.729595763966903E+05,  9.244370529806249E+03,
2397515.500000000, A.D. 1852-Jan-28 00:00:00.0000,  1.111230716168437E+09,  8.164923414137553E+08, -5.849134143409848E+07, -5.396129804161945E+05,  6.697473119898192E+05,  9.553974729026466E+03,
2397525.500000000, A.D. 1852-Feb-07 00:00:00.0000,  1.105814287665475E+09,  8.231755263899405E+08, -5.839532337897301E+07, -5.438567172202240E+05,  6.668437399294503E+05,  9.687673040385038E+03,
2397535.500000000, A.D. 1852-Feb-17 00:00:00.0000,  1.100355480686837E+09,  8.298271692012949E+08, -5.829674986922261E+07, -5.478217507819616E+05,  6.636339868310391E+05,  9.940670849429518E+03,
2397545.500000000, A.D. 1852-Feb-27 00:00:00.0000,  1.094855275004513E+09,  8.364484057704406E+08, -5.819642368549007E+07, -5.521507882094525E+05,  6.604362261723896E+05,  1.020741754768283E+04,
2397555.500000000, A.D. 1852-Mar-08 00:00:00.0000,  1.089314472373481E+09,  8.430374374844601E+08, -5.809361995843461E+07, -5.561792820934171E+05,  6.574425825127544E+05,  1.032925254430866E+04,
2397565.500000000, A.D. 1852-Mar-18 00:00:00.0000,  1.083731592820782E+09,  8.495947257709192E+08, -5.798856818158680E+07, -5.602081883642914E+05,  6.540722315455001E+05,  1.063248084538096E+04,
2397575.500000000, A.D. 1852-Mar-28 00:00:00.0000,  1.078108485191804E+09,  8.561205181852081E+08, -5.788168895797324E+07, -5.644909880107903E+05,  6.509266265301704E+05,  1.083040199729882E+04,
2397585.500000000, A.D. 1852-Apr-07 00:00:00.0000,  1.072444645216011E+09,  8.626130723084804E+08, -5.777216669818842E+07, -5.683561896250159E+05,  6.477401449277478E+05,  1.099900346075285E+04,
2397595.500000000, A.D. 1852-Apr-17 00:00:00.0000,  1.066739562204464E+09,  8.690736387875131E+08, -5.766072090085959E+07, -5.724710248523336E+05,  6.442940787113960E+05,  1.131172257112074E+04,
2397605.500000000, A.D. 1852-Apr-27 00:00:00.0000,  1.060995095277977E+09,  8.755013205347712E+08, -5.754717826083893E+07, -5.765906622188662E+05,  6.411732821939584E+05,  1.144550372418753E+04,
2397615.500000000, A.D. 1852-May-07 00:00:00.0000,  1.055209779040424E+09,  8.818952334846441E+08, -5.743107192627627E+07, -5.804066395524413E+05,  6.377737904818094E+05,  1.168311307001582E+04,
2397625.500000000, A.D. 1852-May-17 00:00:00.0000,  1.049384416265774E+09,  8.882566017610902E+08, -5.731322446452951E+07, -5.845820161517899E+05,  6.343350363270766E+05,  1.196157291421736E+04,
2397635.500000000, A.D. 1852-May-27 00:00:00.0000,  1.043520003573518E+09,  8.945837023225408E+08, -5.719295907918692E+07, -5.884824098010121E+05,  6.311345860715280E+05,  1.208061689696126E+04,
2397645.500000000, A.D. 1852-Jun-06 00:00:00.0000,  1.037614999620368E+09,  9.008768500905867E+08, -5.707041697210723E+07, -5.923373153689946E+05,  6.275668579753976E+05,  1.237247139307913E+04,
2397655.500000000, A.D. 1852-Jun-16 00:00:00.0000,  1.031671170246394E+09,  9.071364707847673E+08, -5.694609631801760E+07, -5.964800571478353E+05,  6.241919916135400E+05,  1.257921580464594E+04,
2397665.500000000, A.D. 1852-Jun-26 00:00:00.0000,  1.025688194704057E+09,  9.133607664631314E+08, -5.681916543810576E+07, -6.002125894602143E+05,  6.208166428500076E+05,  1.273679369059384E+04,
2397675.500000000, A.D. 1852-Jul-06 00:00:00.0000,  1.019665386533630E+09,  9.195509095993330E+08, -5.669028873807347E+07, -6.041573903539323E+05,  6.171551006511520E+05,  1.304851579960883E+04,
2397685.500000000, A.D. 1852-Jul-16 00:00:00.0000,  1.013604673437527E+09,  9.257061636109662E+08, -5.655938224529243E+07, -6.081466951937109E+05,  6.138080953831078E+05,  1.319049999094483E+04,
2397695.500000000, A.D. 1852-Jul-26 00:00:00.0000,  1.007504701417416E+09,  9.318254893989733E+08, -5.642590891131449E+07, -6.118014876619220E+05,  6.102195430454916E+05,  1.341438241574252E+04,
2397705.500000000, A.D. 1852-Aug-05 00:00:00.0000,  1.001366094506887E+09,  9.379101696001432E+08, -5.629070573268956E+07, -6.158100836290778E+05,  6.065622646626158E+05,  1.369357781698844E+04,
2397715.500000000, A.D. 1852-Aug-15 00:00:00.0000,  9.951900182805264E+08,  9.439585607461078E+08, -5.615315349302006E+07, -6.195897265696389E+05,  6.031555000875123E+05,  1.381122445149206E+04,
2397725.500000000, A.D. 1852-Aug-25 00:00:00.0000,  9.889749015457681E+08,  9.499707979111360E+08, -5.601329944348389E+07, -6.232742618353856E+05,  5.993799389981339E+05,  1.409794789366635E+04,
2397735.500000000, A.D. 1852-Sep-04 00:00:00.0000,  9.827224383160912E+08,  9.559474511484953E+08, -5.587171003293133E+07, -6.272511309267270E+05,  5.957739687982636E+05,  1.431182683849758E+04,
2397745.500000000, A.D. 1852-Sep-14 00:00:00.0000,  9.764325181541940E+08,  9.618866900845755E+08, -5.572755514252073E+07, -6.308367710403039E+05,  5.922107423875444E+05,  1.445605201993820E+04,
2397755.500000000, A.D. 1852-Sep-24 00:00:00.0000,  9.701043045367624E+08,  9.677896005246098E+08, -5.558144061248517E+07, -6.346088311828327E+05,  5.883379694271269E+05,  1.476406161131832E+04,
2397765.500000000, A.D. 1852-Oct-04 00:00:00.0000,  9.637397842317591E+08,  9.736555993067544E+08, -5.543336776591295E+07, -6.384503735572806E+05,  5.847635490082665E+05,  1.491314560924042E+04,
2397775.500000000, A.D. 1852-Oct-14 00:00:00.0000,  9.573377509905885E+08,  9.794835061283685E+08, -5.528273684429169E+07, -6.419319027492194E+05,  5.809799052382564E+05,  1.512567028544338E+04,
2397785.500000000, A.D. 1852-Oct-24 00:00:00.0000,  9.508986758129420E+08,  9.852746543672272E+08, -5.513039044924355E+07, -6.457564345217970E+05,  5.771018293687477E+05,  1.540633380074800E+04,
2397795.500000000, A.D. 1852-Nov-03 00:00:00.0000,  9.444239007491690E+08,  9.910275104119226E+08, -5.497577387595195E+07, -6.493810379921745E+05,  5.734923369981233E+05,  1.551975528991843E+04,
2397805.500000000, A.D. 1852-Nov-13 00:00:00.0000,  9.379118486342157E+08,  9.967420586811571E+08, -5.481884706199038E+07, -6.528779919460107E+05,  5.695229229529307E+05,  1.579577877923741E+04,
2397815.500000000, A.D. 1852-Nov-23 00:00:00.0000,  9.313641243793992E+08,  1.002419022241866E+09, -5.466023639944530E+07, -6.566850323896054E+05,  5.656944517482257E+05,  1.601638720913119E+04,
2397825.500000000, A.D. 1852-Dec-03 00:00:00.0000,  9.247808309212471E+08,  1.008056560049520E+09, -5.449911335305363E+07, -6.600983581658256E+05,  5.619379176198111E+05,  1.615351416437510E+04,
2397835.500000000, A.D. 1852-Dec-13 00:00:00.0000,  9.181610047876472E+08,  1.013655687335460E+09, -5.433602253716391E+07, -6.636629780288491E+05,  5.578643271571740E+05,  1.645631818286442E+04,
2397845.500000000, A.D. 1852-Dec-23 00:00:00.0000,  9.115066620846590E+08,  1.019216012552920E+09, -5.417105555974519E+07, -6.673415670186208E+05,  5.540907963188640E+05,  1.660405311171996E+04,
2397855.500000000, A.D. 1853-Jan-02 00:00:00.0000,  9.048167239906604E+08,  1.024736233954196E+09, -5.400355284824258E+07, -6.706428458525629E+05,  5.501265906619056E+05,  1.680541271487979E+04,
2397865.500000000, A.D. 1853-Jan-12 00:00:00.0000,  8.980914880414050E+08,  1.030217723551259E+09, -5.383434952217793E+07, -6.742690832809384E+05,  5.460325839841632E+05,  1.709276412238619E+04,
2397875.500000000, A.D. 1853-Jan-22 00:00:00.0000,  8.913324556776997E+08,  1.035659073975149E+09, -5.366295910554665E+07, -6.777226324680907E+05,  5.422374380115973E+05,  1.720048255285308E+04,
2397885.500000000, A.D. 1853-Feb-01 00:00:00.0000,  8.845380404357065E+08,  1.041060120921335E+09, -5.348925508684415E+07, -6.810158949771478E+05,  5.380919153944285E+05,  1.746378025401538E+04,
2397895.500000000, A.D. 1853-Feb-11 00:00:00.0000,  8.777097209412775E+08,  1.046421735416691E+09, -5.331392108677089E+07, -6.846432951220663E+05,  5.340556470075884E+05,  1.769099665300639E+04,
2397905.500000000, A.D. 1853-Feb-21 00:00:00.0000,  8.708477957790582E+08,  1.051742070942108E+09, -5.313613733042681E+07, -6.878846043623392E+05,  5.301282782942579E+05,  1.781689638816514E+04,
2397915.500000000, A.D. 1853-Mar-03 00:00:00.0000,  8.639511648814509E+08,  1.057022036427650E+09, -5.295637610792416E+07, -6.912398726786005E+05,  5.258612709765479E+05,  1.811720786565309E+04,
2397925.500000000, A.D. 1853-Mar-13 00:00:00.0000,  8.570218564221958E+08,  1.062261420147085E+09, -5.277481825809079E+07, -6.947457241311370E+05,  5.218854092651570E+05,  1.827066793806148E+04,
2397935.500000000, A.D. 1853-Mar-23 00:00:00.0000,  8.500589381893339E+08,  1.067458796829152E+09, -5.259075372065920E+07, -6.978507101245109E+05,  5.177610798087411E+05,  1.845360776018665E+04,
2397945.500000000, A.D. 1853-Apr-02 00:00:00.0000,  8.430625180136904E+08,  1.072615548499089E+09, -5.240500641632354E+07, -7.012759754550469E+05,  5.134694581916556E+05,  1.874155017602669E+04,
2397955.500000000, A.D. 1853-Apr-12 00:00:00.0000,  8.360342414592204E+08,  1.077730388889497E+09, -5.221716274129164E+07, -7.045709986181573E+05,  5.094844596062846E+05,  1.885018322665025E+04,
2397965.500000000, A.D. 1853-Apr-22 00:00:00.0000,  8.289725536017634E+08,  1.082802973857693E+09, -5.202700354641336E+07, -7.076458849447152E+05,  5.051619785012156E+05,  1.910256862664741E+04,
2397975.500000000, A.D. 1853-May-02 00:00:00.0000,  8.218788112171174E+08,  1.087834307458377E+09, -5.183526715751606E+07, -7.110686278164602E+05,  5.009228309121585E+05,  1.933355665797792E+04,
2397985.500000000, A.D. 1853-May-12 00:00:00.0000,  8.147535240972179E+08,  1.092822564866470E+09, -5.164116064161867E+07, -7.141385002396958E+05,  4.968341077323571E+05,  1.944531729550083E+04,
2397995.500000000, A.D. 1853-May-22 00:00:00.0000,  8.075954779212743E+08,  1.097768526329720E+09, -5.144507457462001E+07, -7.172748077881533E+05,  4.923820042527868E+05,  1.974021593508708E+04,
