            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2396975.500000000, A.D. 1850-Aug-06 00:00:00.0000,  4.144244431226110E+09, -1.709773596687373E+09, -6.026556990938711E+07,  1.759833800718407E+05,  4.361287510874195E+05, -1.301746125754404E+04,
2396985.500000000, A.D. 1850-Aug-16 00:00:00.0000,  4.146001527016011E+09, -1.705411956473372E+09, -6.039606153478265E+07,  1.754148404131892E+05,  4.362993030326923E+05, -1.302137126106360E+04,
2396995.500000000, A.D. 1850-Aug-26 00:00:00.0000,  4.147754273119093E+09, -1.701048259794967E+09, -6.052640238899946E+07,  1.750301486018515E+05,  4.363928798819628E+05, -1.307343859716570E+04,
2397005.500000000, A.D. 1850-Sep-05 00:00:00.0000,  4.149502383746700E+09, -1.696682634432010E+09, -6.065666213850772E+07,  1.746754914802942E+05,  4.366613254778532E+05, -1.302191431839003E+04,
2397015.500000000, A.D. 1850-Sep-15 00:00:00.0000,  4.151246068343187E+09, -1.692315272757214E+09, -6.078695448412955E+07,  1.741162031070785E+05,  4.369009733872326E+05, -1.298406981004525E+04,
2397025.500000000, A.D. 1850-Sep-25 00:00:00.0000,  4.152985460966348E+09, -1.687945944076286E+09, -6.091713991445744E+07,  1.736466886500676E+05,  4.369814220676063E+05, -1.304144202224512E+04,
2397035.500000000, A.D. 1850-Oct-05 00:00:00.0000,  4.154720246895784E+09, -1.683574612613657E+09, -6.104718674255025E+07,  1.733254522868204E+05,  4.371839265364314E+05, -1.302788305450752E+04,
2397045.500000000, A.D. 1850-Oct-15 00:00:00.0000,  4.156450457943979E+09, -1.679201555638111E+09, -6.117725236422336E+07,  1.728234999610826E+05,  4.374697309025353E+05, -1.296139142037503E+04,
2397055.500000000, A.D. 1850-Oct-25 00:00:00.0000,  4.158176374172304E+09, -1.674826675333611E+09, -6.130727395381868E+07,  1.722805193364857E+05,  4.375803351954262E+05, -1.299751284858975E+04,
2397065.500000000, A.D. 1850-Nov-04 00:00:00.0000,  4.159897791660523E+09, -1.670449786132728E+09, -6.143713219045746E+07,  1.719429346855413E+05,  4.377096615011313E+05, -1.302516609606326E+04,
